variable,label
qchewtobschool,Days use snuff school property 30 days
qalcoholschool,How many days drink @ school 30 days
qtypealcohol,What type of alcohol usually drink 30d
qhowmarijuana,Usual use of marijuana
qmarijuanaschool,How many times marijuana @ school 30 days
qcurrentcocaine,How many times use cocaine 30 days
qcurrentheroin,Current heroin use
qcurrentmeth,Current meth use
qhallucdrug,Ever used LSD
qprescription30d,Times take drug w/o prescription 30d
qgenderexp,How others would describe you
qtaughthiv,Ever taught about AIDS/HIV at school
qtaughtsexed,Ever had sex education in school
qtaughtstd,Ever been taught in school about STDs
qtaughtcondom,Ever been taught in school about how to use condom
qtaughtbc,Ever been taught about BC methods in sch
qdietpop,How many times diet soda past 7 days
qcoffeetea,Times drink coffee or tea past 7 days
qsportsdrink,Sports drinks
qenergydrink,How many times energy drink past 7 days
qsugardrink,Times sugar-sweetened beverage past 7d
qwater,Plain water
qfastfood,Days 1+ meal/snack fast food past 7d
qfoodallergy,Food allergies
qwenthungry,How often went hungry
qmusclestrength,Muscle strengthening
qsunscreenuse,Sunscreen use outside
qindoortanning,Indoor tanning
qsunburn,Sunburn
qconcentrating,Difficulty concentrating
qcurrentasthma,Do you still have asthma
qwheresleep,Homelessness
qspeakenglish,How well speak English
qtransgender,Transgender
qnbikehelmet,Rarely or never wore a bicycle helmet
qndrivemarijuana,Drove a car or other vehicle when they had been using marijuana
qncelldriving,Talked on cell phone driving 1+ past 30d
qnpropertydamage,Reported that their property had been stolen or deliberately damaged on school property one or more times
qnbullyweight,Been teased b/c of weight past 12 mos
qnbullygender,Been teased because of gender
qnbullygay,Been teased b/c labeled GLB past 12 mos
qnchokeself,Choked yourself on purpose
qncigschool,Used cigarettes at school 1+ 30 days
qnchewtobschool,Used snuff/dip at school 1+ 30 days
qnalcoholschool,Had 1+ drinks at school 1+ 30 days
qntypealcohol,Liquor type alcohol drank past 30 days
qnhowmarijuana,"Usually used marijuana by smoking it in a joint, bong, pipe, or blunt"
qnmarijuanaschool,Used marijuana @ school 1+ times 30 day
qncurrentcocaine,Used cocaine 1+ times past 30 days
qncurrentheroin,Used heroin 1+ times past 30 days
qncurrentmeth,Used meth 1+ times past 30 days
qnhallucdrug,Used LSD 1+ times
qnprescription30d,Prescription drug 1+ times past 30 days
qngenderexp,Equally feminine and masculine
qntaughthiv,Been taught about HIV in school
qntaughtsexed,Had sex education in school ever
qntaughtstd,Been taught in school about STDs ever
qntaughtcondom,Been taught how to use a condom in sch
qntaughtbc,Been taught in school about BC methods
qndietpop,Drink 1+ times/day diet soda past 7d
qncoffeetea,Drank 1+ times/day coffee/tea past 7d
qnsportsdrink,"Did not drink a can, bottle, or glass of a sports drink"
qnspdrk1,"Drank a can, bottle, or glass of a sports drink one or more times per day"
qnspdrk2,"Drank a can, bottle, or glass of a sports drink two or more times per day"
qnspdrk3,"Drank a can, bottle, or glass of a sports drink three or more times per day"
qnenergydrink,Drank 1+ times/day energy drink past 7d
qnsugardrink,Drank 1+times/day sugar beverage past 7d
qnwater,Did not drink a bottle or glass of plain water
qnwater1,Drank one or more glasses per day of water
qnwater2,Drank two or more glasses per day of water
qnwater3,Drank three or more glasses per day of water
qnfastfood,Ate 1+ meal/snack fast food 3+ days
qnfoodallergy,Have to avoid some foods because eating the food could cause an allergic reaction
qnwenthungry,Mostly/Always went hungry past 30 days
qnmusclestrength,Strengthened muscles 3+ of past 7 days
qnsunscreenuse,Mostly or always wear sunscreen
qnindoortanning,Used 1+ times indoor tanning
qnsunburn,Had a sunburn
qnconcentrating,"Have serious difficulty concentrating, remembering, or making decisions"
qncurrentasthma,With current asthma
qnwheresleep,"Usually slept in the home of a friend, family member, or other person because they had to leave their home or their parent or guardian cannot afford housing"
qnspeakenglish,Speak English well or very well
qntransgender,Are transgender.
